"SSS","Longitude","Latitude"
"AD1_2006__Diekoetter 1 46",8.89613268353,50.7941472383
"AD1_2006__Diekoetter 1 47",8.88905186189,50.7896461377
"AD1_2006__Diekoetter 1 48",8.89614258536,50.7896526289
"AD1_2006__Diekoetter 1 49",8.81816218216,50.7850629234
"AD1_2006__Diekoetter 1 50",8.82525219094,50.7850737228
"AD1_2006__Diekoetter 1 51",8.81817955536,50.7805683222
"AD1_2006__Diekoetter 1 52",8.82526888446,50.7805791199
"AD1_2006__Diekoetter 1 53",8.84652224217,50.7851035355
"AD1_2006__Diekoetter 1 54",8.85361226697,50.7851126112
"AD1_2006__Diekoetter 1 55",8.84653689668,50.7806089278
"AD1_2006__Diekoetter 1 56",8.8536262418,50.7806180021
"AD1_2006__Diekoetter 1 57",8.87488236209,50.7851372528
"AD1_2006__Diekoetter 1 58",8.88197240013,50.7851446048
"AD1_2006__Diekoetter 1 59",8.8748942979,50.7806426398
"AD1_2006__Diekoetter 1 60",8.88198365626,50.7806499906
"AD1_2006__Diekoetter 1 61",8.9032425308,50.7851640753
"AD1_2006__Diekoetter 1 62",8.9103325793,50.7851697036
"AD1_2006__Diekoetter 1 63",8.9032517479,50.780669458
"AD1_2006__Diekoetter 1 64",8.91034111672,50.7806750854
"AD1_2006__Diekoetter 1 65",8.93160273718,50.7851840029
"AD1_2006__Diekoetter 1 66",8.93869279336,50.7851879075
"AD1_2006__Diekoetter 1 67",8.93160923555,50.7806893825
"AD1_2006__Diekoetter 1 68",8.93869861204,50.7806932865
"AD1_2006__Diekoetter 1 69",8.8323742276,50.7760948787
"AD1_2006__Diekoetter 1 70",8.83946288556,50.7761048131
"AD1_2006__Diekoetter 1 71",8.83239023327,50.7716002671
"AD1_2006__Diekoetter 1 72",8.83947821191,50.7716102
"AD1_2006__Diekoetter 1 73",8.86072888227,50.7761320316
"AD1_2006__Diekoetter 1 74",8.86781755485,50.7761402428
"AD1_2006__Diekoetter 1 75",8.86074217064,50.7716374141
"AD1_2006__Diekoetter 1 76",8.8678301639,50.7716456241
"AD1_2006__Diekoetter 1 77",8.88908359125,50.7761622919
"AD1_2006__Diekoetter 1 78",8.89617227568,50.77616878
"AD1_2006__Diekoetter 1 79",8.88909416231,50.7716676696
"AD1_2006__Diekoetter 1 80",8.8961821674,50.7716741567
"AD1_2006__Diekoetter 1 81",8.91743834344,50.7761856595
"AD1_2006__Diekoetter 1 82",8.92452703693,50.7761904244
"AD1_2006__Diekoetter 1 83",8.91744619716,50.7716910336
"AD1_2006__Diekoetter 1 84",8.92453421132,50.7716957977
"AD1_2006__Diekoetter 1 85",8.9457931277,50.7762021345
"AD1_2006__Diekoetter 1 86",8.95288182748,50.7762051763
"AD1_2006__Diekoetter 1 87",8.94579826408,50.7717075059
"AD1_2006__Diekoetter 1 88",8.95288628452,50.7717105472
"AD1_2006__Diekoetter 1 89",8.84658083775,50.767125084
"AD1_2006__Diekoetter 1 90",8.8536681449,50.7671341539
"AD1_2006__Diekoetter 1 91",8.8465954773,50.7626304624
"AD1_2006__Diekoetter 1 92",8.85368210547,50.7626395309
"AD1_2006__Diekoetter 1 93",8.87493008705,50.7671587799
"AD1_2006__Diekoetter 1 94",8.88201740742,50.7671661272
"AD1_2006__Diekoetter 1 95",8.87494201067,50.7626641529
"AD1_2006__Diekoetter 1 96",8.88202865206,50.7626714991
"AD1_2006__Diekoetter 1 97",8.90327938507,50.7671855853
"AD1_2006__Diekoetter 1 98",8.91036671588,50.76719121
"AD1_2006__Diekoetter 1 99",8.90328859275,50.7626909541
"AD1_2006__Diekoetter 1 100",8.91037524458,50.762696578
"AD1_2006__Diekoetter 1 101",8.9316287207,50.7672055003
"AD1_2006__Diekoetter 1 102",8.93871605918,50.7672094024
"AD1_2006__Diekoetter 1 103",8.93163521243,50.762710866
